dataset,clusters,vehicles_per_cluster,total_nodes,round,global_proxy_acc,avg_private_acc,avg_train_loss
vanet,2,2,4,1,68.8,80.8425,0.8766250000000001
vanet,2,2,4,2,72.2,81.91749999999999,0.7625500000000001
vanet,2,2,4,3,74.6,82.0075,0.74055
vanet,2,2,4,4,76.6,82.105,0.7287250000000001
vanet,2,5,10,1,61.4,80.098,0.97492
vanet,2,5,10,2,68.8,80.642,0.81408
vanet,2,5,10,3,69.2,80.93999999999998,0.77931
vanet,2,5,10,4,70.4,81.03,0.7595666666666667
vanet,2,10,20,1,60.0,78.779,1.07314
vanet,2,10,20,2,61.4,80.0805,0.8636649999999999
vanet,2,10,20,3,62.6,80.24300000000001,0.82119
vanet,2,10,20,4,68.8,80.25764705882354,0.7997647058823529
vanet,2,20,40,1,60.0,77.1075,1.1902075
vanet,2,20,40,2,60.0,79.137,0.9519424999999998
vanet,2,20,40,3,60.4,79.769,0.8803525000000001
vanet,2,20,40,4,61.2,79.90896551724137,0.8455206896551725
vanet,4,2,8,1,61.8,80.5725,0.9501625
vanet,4,2,8,2,68.8,81.2375,0.8031375
vanet,4,2,8,3,70.2,81.45875,0.7698375
vanet,4,2,8,4,71.6,81.735,0.7535375
vanet,4,5,20,1,60.0,78.6755,1.06965
vanet,4,5,20,2,61.4,79.934,0.86226
vanet,4,5,20,3,63.4,80.27099999999999,0.8215350000000001
vanet,4,5,20,4,68.8,80.337,0.7997949999999999
