VEHICLE UPDATES
+-------+---------+------------+----------------+
| Round | Vehicle | Train Loss | Train Accuracy |
+-------+---------+------------+----------------+
|   1   |  C1_D2  |   0.9844   |     76.93%     |
|   1   |  C1_D1  |   0.9687   |     76.52%     |
|   1   |  C2_D1  |   1.0098   |     76.16%     |
|   1   |  C2_D2  |   0.9883   |     76.33%     |
|   2   |  C1_D2  |   0.8252   |     79.78%     |
|   2   |  C2_D2  |   0.8291   |     79.69%     |
|   2   |  C1_D1  |   0.8354   |     79.91%     |
|   2   |  C2_D1  |   0.8314   |     79.73%     |
|   3   |  C1_D2  |   0.7318   |     81.13%     |
|   3   |  C1_D1  |   0.7328   |     81.51%     |
|   3   |  C2_D1  |   0.7358   |     81.34%     |
|   3   |  C2_D2  |   0.7361   |     81.02%     |
|   4   |  C1_D2  |   0.7082   |     81.53%     |
|   4   |  C2_D1  |   0.7134   |     81.42%     |
|   4   |  C1_D1  |   0.7086   |     81.76%     |
|   4   |  C2_D2  |   0.7129   |     81.31%     |
|   5   |  C1_D1  |   0.6999   |     81.87%     |
|   5   |  C2_D2  |   0.7034   |     81.43%     |
|   5   |  C2_D1  |   0.7013   |     81.66%     |
|   5   |  C1_D2  |   0.6967   |     81.57%     |
|   6   |  C1_D1  |   0.6922   |     82.04%     |
|   6   |  C2_D2  |   0.6959   |     81.49%     |
|   6   |  C1_D2  |   0.6905   |     81.6%      |
|   6   |  C2_D1  |   0.6958   |     81.75%     |
|   7   |  C1_D1  |   0.6879   |     82.0%      |
|   7   |  C2_D2  |   0.6915   |     81.56%     |
|   7   |  C1_D2  |   0.6863   |     81.75%     |
|   7   |  C2_D1  |   0.6908   |     81.86%     |
|   8   |  C1_D1  |   0.684    |     82.11%     |
|   8   |  C2_D2  |   0.6895   |     81.53%     |
|   8   |  C2_D1  |   0.6882   |     81.85%     |
|   8   |  C1_D2  |   0.6825   |     81.79%     |
|   9   |  C1_D1  |   0.6817   |     82.21%     |
|   9   |  C2_D2  |   0.6869   |     81.65%     |
|   9   |  C1_D2  |    0.68    |     81.83%     |
|   9   |  C2_D1  |   0.684    |     81.95%     |
|   10  |  C1_D2  |   0.6772   |     81.87%     |
|   10  |  C1_D1  |   0.6787   |     82.24%     |
|   10  |  C2_D2  |   0.6833   |     81.71%     |
|   10  |  C2_D1  |   0.6832   |     81.93%     |
|   11  |  C1_D1  |   0.6756   |     82.32%     |
|   11  |  C2_D2  |   0.6814   |     81.73%     |
|   11  |  C2_D1  |   0.6804   |     82.05%     |
|   11  |  C1_D2  |   0.6764   |     81.93%     |
|   12  |  C2_D2  |   0.6796   |     81.76%     |
|   12  |  C2_D1  |   0.6781   |     82.02%     |
|   12  |  C1_D1  |   0.6745   |     82.33%     |
|   12  |  C1_D2  |   0.6734   |     82.01%     |
|   13  |  C1_D1  |   0.6735   |     82.32%     |
|   13  |  C1_D2  |   0.6709   |     82.02%     |
|   13  |  C2_D2  |   0.6787   |     81.88%     |
|   13  |  C2_D1  |   0.6783   |     82.09%     |
|   14  |  C1_D1  |   0.6717   |     82.39%     |
|   14  |  C2_D2  |   0.6765   |     81.81%     |
|   14  |  C1_D2  |   0.6712   |     82.01%     |
|   14  |  C2_D1  |   0.6746   |     82.17%     |
|   15  |  C1_D2  |   0.6695   |     82.13%     |
|   15  |  C1_D1  |   0.6711   |     82.36%     |
|   15  |  C2_D1  |   0.6744   |     82.25%     |
|   15  |  C2_D2  |   0.6764   |     81.88%     |
|   16  |  C1_D1  |   0.6694   |     82.44%     |
|   16  |  C1_D2  |   0.6689   |     82.11%     |
|   16  |  C2_D2  |   0.6756   |     81.89%     |
|   16  |  C2_D1  |   0.6738   |     82.15%     |
|   17  |  C1_D1  |   0.6676   |     82.53%     |
|   17  |  C1_D2  |   0.6669   |     82.2%      |
|   17  |  C2_D1  |   0.6727   |     82.26%     |
|   17  |  C2_D2  |   0.6739   |     81.94%     |
|   18  |  C1_D2  |   0.6659   |     82.23%     |
