node,round,train_loss,train_accuracy_pct,private_test_accuracy_pct,epsilon,delta,global_proxy_accuracy_pct,successful_updates,throughput_updates_per_sec,bytes_tx,bytes_rx,training_ms,key_generation_ms,signature_generation_ms,signature_verification_ms,batch_verification_ms,batch_verification_receiver_ms,encryption_ms,decryption_ms,communication_tx_ms,communication_rx_ms,security_latency_ms,communication_latency_ms,device_round_execution_ms,rsu_round_execution_ms,server_round_execution_ms,energy_training_j,energy_security_j,energy_communication_j,energy_total_j,energy_idle_j,idle_latency_ms
C1_D1,1,0.486187865336736,76.75,83.0,29527.988404554177,1e-05,,,,206449.0,204938.0,6809.034999983851,0.0,14.452399977017194,135.72390002082102,41.36765000293963,,59.65420001302846,0.0,2.4618000024929643,0.11449999874457717,251.1981500138063,2.5763000012375414,13120.113599987235,,,74.0823007998243,1.093214348860085,0.01681808640807867,1.1100324352681636,13.18069383037463,6057.30414998834
C1_D2,1,0.5350653757651648,73.54166666666667,76.0,29527.988404554177,1e-05,,,,206449.0,204938.0,6837.62510001543,0.0,15.769999998155981,113.04070000187494,41.36765000293963,,39.5280999946408,0.0,1.539300021249801,1.9305000023450702,209.70644999761134,3.469800023594871,13121.711199986748,,,74.39336108816788,0.9126424703896047,0.02265085455402732,0.9352933249436319,13.210299833491446,6070.909849950112
C2_D1,1,0.5288348356882732,74.37499999999999,84.5,29527.988404554177,1e-05,,,,412892.0,411381.0,6998.747100005858,0.0,18.199399986770004,119.32480000541545,46.26200000348035,,50.97579999710433,0.0,1.8680999928619713,1.9434999849181622,234.76199999277014,3.8115999777801335,13115.235000004759,,,76.14636844806373,1.0216842239685358,0.024882124654948715,1.0465663486234844,12.790341516861695,5877.914300028351
C2_D2,1,0.5103118193149566,76.5,82.0,29527.988404554177,1e-05,,,,412892.0,411382.0,6874.672700010706,0.0,12.201300007291138,112.49840000527911,46.26200000348035,,36.232000013114884,0.0,3.228699992178008,0.5329999839887023,207.19370002916548,3.7616999761667103,13109.765700006392,,,74.79643897611648,0.9017069825269283,0.024556377444416286,0.9262633599713446,13.108523417579011,6024.137599990354
Cluster_1,1,,,,,,,,,616342.0,617836.0,,0.0,12.439200014341623,108.81639999570325,44.36849999183323,82.73530000587925,45.07289998582564,0.0,7.887899992056191,0.9105000062845647,210.69699998770375,8.798399998340756,,158.14799998770468,,0.0,0.9169533439464869,0.05743595518916846,0.9743892991356553,0.0,0.0
Cluster_2,1,,,,,,,,,616341.0,617835.0,,0.0,12.675400008447468,138.94689999870025,44.36849999183323,92.5240000069607,40.30079999938607,0.0,6.144499988295138,0.590900017414242,236.29159999836702,6.73540000570938,,151.43530000932515,,0.0,1.0283410431928932,0.04396869123727083,1.072309734430164,0.0,0.0
Server,1,,,,,,83.07,2.0,0.3961285328550175,409876.0,412931.0,,0.0,,,,88.73699998366646,,0.0,4.400799982249737,0.4248999757692218,0.0,4.825699958018959,,,2248.6417000181973,0.0,0.0,0.031502169325947765,0.031502169325947765,4.882543616130948,2243.8160000601783
C1_D1,2,0.1791486661632856,93.33333333333333,84.0,59045.157030823946,1e-05,,,,206449.0,204938.0,5316.314499999862,0.0,22.116299980552867,129.4542999821715,41.221899999072775,,43.465099995955825,0.0,2.255699975648895,0.885900022694841,236.25759995775297,3.141599998343736,10037.77959998115,,,57.84150175999851,1.028193075016141,0.020508364789187907,1.048701439805329,9.752975398454815,4482.065900025191
C1_D2,2,0.17074754456679023,94.45833333333333,86.0,59045.157030823946,1e-05,,,,206449.0,204938.0,5275.862600014079,0.0,12.070400000084192,121.72589998226613,41.221899999072775,,42.68509999383241,0.0,1.7294999852310866,1.086999982362613,217.7032999752555,2.8164999675936997,10034.451800020179,,,57.40138508815319,0.947444761492312,0.018386111788451672,0.9658308732807637,9.874839014537633,4538.06940006325
C2_D1,2,0.19315045247475304,93.16666666666666,85.0,59045.157030823946,1e-05,,,,206449.0,204938.0,5738.367999991169,0.0,18.864300014683977,131.30440001259558,51.067849999526516,,52.983100002165884,0.0,1.0617999942041934,0.9368000028189272,254.21965002897196,1.9985999970231205,10046.675099991262,,,62.43344383990393,1.106363916926086,0.013046860780566933,1.1194107777066529,8.817345337543637,4052.0888499740977
C2_D2,2,0.18610015879074734,94.29166666666667,85.5,59045.157030823946,1e-05,,,,206449.0,204938.0,5559.230699989712,0.0,15.884499996900558,145.48229999491014,51.067849999526516,,46.9773999939207,0.0,23.577899992233142,1.795000018319115,259.4120499852579,25.372900010552257,10044.58980000345,,,60.48443001588807,1.1289612415358423,0.16563429126888513,1.2945955328047274,9.140449350439011,4200.574150017928
Cluster_1,2,,,,,,,,,616342.0,617836.0,,0.0,14.75829997798428,112.51540001831017,44.74334999395069,82.44379999814555,43.65949999191798,0.0,7.3312000022269785,19.968399981735274,215.67654998216312,27.299599983962253,,150.83540001069196,,0.0,0.9386243455223741,0.17821178869530557,1.1168361342176796,0.0,0.0
Cluster_2,2,,,,,,,,,616342.0,617836.0,,0.0,17.652699985774234,122.43230000603944,44.74334999395069,102.13569999905303,44.7373999923002,0.0,42.5157000136096,22.23000000230968,229.56574997806456,64.74570001591928,,210.5353999941144,,0.0,0.9990701439045371,0.42265992970392113,1.4217300736084582,0.0,0.0
Server,2,,,,,,87.44,2.0,0.5818690646841581,409876.0,412932.0,,0.0,,,,89.48669998790137,,0.0,25.473999994574115,19.048099988140166,0.0,44.52209998271428,,,2553.853000019444,0.0,0.0,0.2906402686871588,0.2906402686871588,5.460304038479924,2509.33090003673
C1_D1,3,0.12364201252659163,95.66666666666667,84.5,88562.32565709371,1e-05,,,,206449.0,204938.0,5641.102499997942,0.0,13.329600013094023,109.20530001749285,39.89884999464266,,40.68659999757074,0.0,1.6712000069674104,5.339399998774752,203.12035002280027,7.0106000057421625,9694.4155000092,,,61.37519519997761,0.8839797632992269,0.04576519683748484,0.9297449601367117,8.362764140762389,3843.1820499827154
C1_D2,3,0.11981652662158011,97.20833333333333,86.0,88562.32565709371,1e-05,,,,206449.0,204938.0,5300.073899998097,0.0,12.213999987579882,115.93469997751527,39.89884999464266,,41.13389999838546,0.0,2.191399980802089,0.5641000170726329,209.18144995812327,2.755499997874722,9698.223899991717,,,57.6648040319793,0.9103576702177526,0.017987903986126184,0.9283455742038788,9.109199596881867,4186.213050037622
C2_D1,3,0.13314068138599397,95.91666666666666,84.5,88562.32565709371,1e-05,,,,206448.0,204938.0,6056.35820000316,0.0,12.254799978109077,119.12489999667741,39.79925000749063,,44.60930000641383,0.0,1.9465000077616423,0.2597999991849065,215.78824998869095,2.206300006946549,9692.093999998178,,,65.89317721603439,0.9391104639507831,0.014402726445347073,0.9535131903961303,7.437004959998653,3417.7412499993807
C2_D2,3,0.13235106428464255,96.54166666666667,85.0,88562.32565709371,1e-05,,,,206449.0,204938.0,6113.988900004188,0.0,18.87289999285713,113.53869998129085,39.79925000749063,,44.02599998866208,0.0,1.1276000004727393,0.26959998649545014,216.23684997030068,1.3971999869681895,9699.853700003587,,,66.52019923204556,0.9410627710707486,0.00912092151492834,0.950183692585677,7.329270112091677,3368.2307500421302
Cluster_1,3,,,,,,,,,616342.0,617836.0,,0.0,19.667700020363554,121.65470002219081,45.21890000614803,79.79769998928532,48.456599994096905,0.0,15.299400023650378,2.7523000026121736,234.9979000427993,18.05170002626255,,158.95300000556745,,0.0,1.0227108609862627,0.11784149777144196,1.1405523587577047,0.0,0.0
Cluster_2,3,,,,,,,,,616342.0,617835.0,,0.0,12.105999980121851,115.91500000213273,45.21890000614803,79.59850001498125,42.04339999705553,0.0,12.498000025516376,2.6694000116549432,215.28329998545814,15.16740003717132,,141.6867999942042,,0.0,0.9369129215367139,0.09901278744265439,1.0359257089793683,0.0,0.0
Server,3,,,,,,88.75999999999999,2.0,0.6708707677801542,409876.0,412932.0,,0.0,,,,90.43780001229607,,0.0,8.400899998378009,1.312500040512532,0.0,9.71340003889054,,,2204.1957000037655,0.0,0.0,0.06340907545387746,0.06340907545387746,4.775193484723568,2194.482299964875
C1_D1,4,0.1037452648083369,96.91666666666666,86.0,118079.49428336347,1e-05,,,,206448.0,204938.0,5347.905400005402,0.0,12.143400002969429,116.42920001759194,42.52690001158044,,42.80819999985397,0.0,1.619300019228831,0.7749999931547791,213.90770003199577,2.39430001238361,9689.34199999785,,,58.18521075205878,0.9309263105392457,0.015629990480840208,0.9465563010200859,8.976292889486999,4125.134599948069
C1_D2,4,0.09510046536723772,98.5,86.0,118079.49428336347,1e-05,,,,206449.0,204938.0,5505.95059999614,0.0,13.621600024634972,129.4192000059411,42.52690001158044,,49.60159998154268,0.0,2.1010999917052686,1.4663999900221825,235.16930002369918,3.567499981727451,9695.636299991747,,,59.904742527958014,1.023456793703139,0.0232886398807168,1.0467454335838557,8.597264806378632,3950.9488999901805
