VEHICLE TRAINING UPDATES
+-------+---------+------------+----------------+
| Round | Vehicle | Train Loss | Train Accuracy |
+-------+---------+------------+----------------+
|   1   |  C1_D1  |   0.6496   |     72.87%     |
|   1   |  C1_D19 |   0.6397   |     73.36%     |
|   1   |  C2_D8  |   0.6794   |     69.13%     |
|   1   |  C1_D3  |   0.6049   |     77.03%     |
|   1   |  C1_D2  |   0.639    |     73.71%     |
|   1   |  C1_D4  |   0.6709   |     72.08%     |
|   1   |  C1_D6  |   0.6169   |     76.02%     |
|   1   |  C1_D5  |   0.632    |     73.9%      |
|   1   |  C1_D8  |   0.6336   |     74.85%     |
|   1   |  C1_D9  |   0.6373   |     75.19%     |
|   1   |  C1_D10 |   0.691    |     68.01%     |
|   1   |  C1_D11 |   0.6358   |     73.39%     |
|   1   |  C1_D12 |   0.6274   |     74.74%     |
|   1   |  C1_D13 |   0.6461   |     72.8%      |
|   1   |  C1_D14 |   0.6335   |     73.5%      |
|   1   |  C1_D15 |   0.6237   |     75.45%     |
|   1   |  C1_D16 |   0.6806   |     69.18%     |
|   1   |  C1_D18 |   0.6245   |     75.08%     |
|   1   |  C1_D17 |   0.6282   |     74.02%     |
|   1   |  C1_D20 |   0.6498   |     72.5%      |
|   1   |  C2_D1  |   0.6084   |     76.08%     |
|   1   |  C2_D2  |   0.6573   |     72.98%     |
|   1   |  C2_D4  |   0.6233   |     74.62%     |
|   1   |  C2_D5  |   0.6801   |     69.55%     |
|   1   |  C2_D6  |   0.6381   |     74.01%     |
|   1   |  C2_D7  |   0.6237   |     74.4%      |
|   1   |  C2_D9  |   0.6206   |     74.62%     |
|   1   |  C2_D10 |   0.6088   |     76.38%     |
|   1   |  C2_D13 |   0.618    |     75.43%     |
|   1   |  C2_D11 |   0.6667   |     71.37%     |
|   1   |  C2_D14 |   0.6595   |     71.32%     |
|   1   |  C2_D16 |   0.6098   |     76.51%     |
|   1   |  C2_D17 |   0.6428   |     73.52%     |
|   1   |  C2_D15 |   0.6338   |     75.08%     |
|   1   |  C2_D18 |   0.6492   |     71.79%     |
|   1   |  C2_D19 |   0.6354   |     74.69%     |
|   1   |  C1_D7  |   0.6459   |     72.6%      |
|   1   |  C2_D20 |   0.6655   |     71.71%     |
|   1   |  C2_D3  |   0.608    |     75.13%     |
|   1   |  C2_D12 |   0.6171   |     73.37%     |
|   2   |  C1_D16 |   0.5603   |     75.59%     |
|   2   |  C1_D20 |   0.5339   |     77.95%     |
|   2   |  C1_D1  |   0.5522   |     76.06%     |
|   2   |  C1_D2  |   0.5381   |     77.96%     |
|   2   |  C1_D4  |   0.5684   |     75.49%     |
|   2   |  C1_D3  |   0.5017   |     81.74%     |
|   2   |  C1_D5  |   0.5243   |     78.72%     |
|   2   |  C1_D9  |   0.5379   |     78.88%     |
|   2   |  C1_D6  |   0.5211   |     79.09%     |
|   2   |  C1_D7  |   0.5247   |     78.07%     |
|   2   |  C1_D8  |   0.5224   |     78.48%     |
|   2   |  C1_D10 |   0.5746   |     75.04%     |
|   2   |  C1_D12 |   0.5278   |     79.18%     |
|   2   |  C1_D11 |   0.5283   |     78.42%     |
|   2   |  C1_D13 |   0.5332   |     77.8%      |
|   2   |  C1_D19 |   0.5329   |     76.52%     |
|   2   |  C1_D14 |   0.5352   |     77.54%     |
|   2   |  C1_D15 |   0.5166   |     78.63%     |
|   2   |  C1_D18 |   0.5199   |     78.15%     |
